step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,900,4,0.2462906766989428,0.0,0.6666666666666666,0.23184185246608463,0.25,0.5714285714285714
2,1672,8,0.2617663532353532,0.5,0.8571428571428571,,,
3,3084,12,0.15920930160665472,0.75,0.9473684210526315,,,
4,4816,16,0.1854493453830889,0.5,0.8,,,
5,6676,20,0.13869174057860997,0.75,0.8571428571428571,,,
6,8152,24,0.17829554468404912,0.5,0.75,,,
7,9884,28,0.11791496816610342,0.5,0.9130434782608695,,,
8,11360,32,0.1736981020153671,1.0,1.0,,,
9,12548,36,0.19205708089082174,0.5,0.8947368421052632,,,
10,13320,40,0.20565441242075053,0.5,0.7777777777777778,,,
11,14348,44,0.15465142890902828,0.75,0.9333333333333333,,,
12,15440,48,0.22795133542143733,0.75,0.9411764705882353,,,
13,17204,52,0.13898486582466255,0.75,0.875,0.21745006601898334,0.25,0.6923076923076923
14,18232,56,0.14998948353592287,0.5,0.7777777777777778,,,
15,19100,60,0.21018590910959944,0.5,0.7777777777777778,,,
16,19904,64,0.19063718511730804,0.75,0.95,,,
17,21060,68,0.1945856843276071,0.0,0.6153846153846154,,,
18,22856,72,0.11273554881239575,0.5,0.7692307692307693,,,
19,24620,76,0.13536457812957203,0.75,0.8333333333333334,,,
20,25776,80,0.14361037441882069,1.0,1.0,,,
21,26932,84,0.12562434858259872,0.25,0.7,,,
22,27960,88,0.18293728014490682,1.0,1.0,,,
23,28860,92,0.16520888998009828,0.5,0.8571428571428571,,,
24,30240,96,0.14680662639655218,0.75,0.75,,,
25,31620,100,0.1605702548183217,0.5,0.8666666666666667,,,
26,32488,104,0.18405013571373782,1.0,1.0,,,
27,33484,108,0.13985615708092258,0.5,0.7777777777777778,0.19073249638243867,0.25,0.7
28,34352,112,0.1960187256528318,1.0,1.0,,,
29,36148,116,0.11301065723206907,0.5,0.8333333333333334,,,
30,37048,120,0.15097700225136187,0.5,0.8461538461538461,,,
31,38876,124,0.15367267764097667,0.25,0.6666666666666666,,,
32,40608,128,0.14581195958862672,0.75,0.9285714285714286,,,
33,41508,132,0.15619169665174013,0.75,0.9285714285714286,,,
34,42120,136,0.2505687023562515,0.25,0.6875,,,
35,43276,140,0.17210081893668383,0.5,0.8333333333333334,,,
36,44304,144,0.13360053088791587,0.75,0.9333333333333333,,,
37,45236,148,0.16087427608504187,1.0,1.0,,,
38,46968,152,0.12298242898439524,0.5,0.7777777777777778,,,
39,48220,156,0.16055259452795217,0.5,0.8461538461538461,,,
40,49344,160,0.1367470074442164,1.0,1.0,0.22388112334218163,0.75,0.9375
41,50500,164,0.13632796411761142,0.25,0.7272727272727273,,,
42,52232,168,0.13869095843028678,0.25,0.6666666666666666,,,
43,54028,172,0.12730184370742523,0.25,0.7,,,
44,55184,176,0.11544059841610749,0.5,0.875,,,
45,56340,180,0.09637756509663024,0.75,0.9090909090909091,,,
46,57336,184,0.15610089022353027,0.75,0.9285714285714286,,,
47,58492,188,0.16079099476081762,0.75,0.8888888888888888,,,
48,59872,192,0.1157677114364888,0.5,0.8181818181818182,,,
49,60868,196,0.1573759739953476,1.0,1.0,,,
50,62344,200,0.12914462996644668,0.75,0.9444444444444444,,,
51,63276,204,0.15323070344889733,0.75,0.9285714285714286,,,
52,64144,208,0.1647592838230493,0.75,0.9090909090909091,,,
53,65300,212,0.1305120674600352,0.0,0.6,0.2487124846790998,0.75,0.9285714285714286
54,66328,216,0.1300088710185939,0.75,0.8888888888888888,,,
55,67804,220,0.11306890099985557,0.75,0.9333333333333333,,,
56,68672,224,0.12204760453698363,0.75,0.9090909090909091,,,
57,69700,228,0.14287930972637353,0.5,0.8823529411764706,,,
58,70824,232,0.1501317185350568,0.75,0.8571428571428571,,,
59,71852,236,0.16015285099561966,0.75,0.9,,,
60,72720,240,0.11875494960095133,1.0,1.0,,,
61,73844,244,0.10716457921475922,0.5,0.7777777777777778,,,
62,74872,248,0.13535721443646767,0.5,0.6,,,
63,76156,252,0.1339633095475398,0.75,0.9583333333333334,,,
64,77376,256,0.09926708040466468,0.75,0.9333333333333333,,,
65,78628,260,0.228156943129145,0.5,0.6923076923076923,,,
66,79688,264,0.176428729236137,0.75,0.9375,0.2568050368691805,0.0,0.7894736842105263
67,80716,268,0.14767478788876823,0.5,0.7692307692307693,,,
68,81872,272,0.15568297227125133,0.75,0.8888888888888888,,,
69,83604,276,0.14138326176476743,0.5,0.6666666666666666,,,
70,85400,280,0.124493541628657,0.5,0.8461538461538461,,,
71,86780,284,0.13254649569303711,0.75,0.9285714285714286,,,
72,87648,288,0.125322966932241,0.5,0.8181818181818182,,,
73,89412,292,0.1001648932458325,0.75,0.9444444444444444,,,
74,91240,296,0.13230324237149768,0.5,0.6666666666666666,,,
75,92268,300,0.14325932953917117,0.5,0.7142857142857143,,,
76,93264,304,0.14656470295443974,0.25,0.7,,,
77,94516,308,0.10803348463204351,0.75,0.9230769230769231,0.2866819668370992,0.5,0.8333333333333334
78,95672,312,0.13828260808549672,0.5,0.8,,,
79,96828,316,0.12168264936942613,0.25,0.6363636363636364,,,
80,98304,320,0.12672117740256386,0.75,0.8888888888888888,,,
81,99140,324,0.13159901186333908,0.25,0.6363636363636364,,,
82,100424,328,0.1575847308644808,0.75,0.8888888888888888,,,
83,101548,332,0.11650621590766735,0.5,0.8333333333333334,,,
84,103376,336,0.12429777831150142,0.5,0.7857142857142857,,,
85,104404,340,0.12597797646407827,0.75,0.8571428571428571,,,
86,105816,344,0.10261588709612192,0.5,0.8,,,
87,106716,348,0.09691334019905266,0.75,0.9230769230769231,,,
88,107968,352,0.13120305508754,0.75,0.9333333333333333,,,
89,109796,356,0.11226481599259817,0.75,0.9,0.21375480362951294,0.25,0.7692307692307693
90,111048,360,0.09954283446223507,1.0,1.0,,,
91,111852,364,0.1031786904612286,1.0,1.0,,,
92,113104,368,0.1333648442733589,0.75,0.9285714285714286,,,
93,114228,372,0.09998335709068508,0.5,0.8888888888888888,,,
94,115384,376,0.1208804774584779,0.75,0.8571428571428571,,,
95,116380,380,0.17743152747976168,0.75,0.8461538461538461,,,
96,117280,384,0.10000593346064923,0.75,0.9166666666666666,,,
97,118308,388,0.1341211753308187,1.0,1.0,,,
98,119368,392,0.13289558772812873,0.5,0.6666666666666666,,,
99,120844,396,0.10477064805905122,0.75,0.9,,,
100,122224,400,0.09041048321888032,0.75,0.9,,,
101,123124,404,0.1401240199569096,0.5,0.8181818181818182,,,
102,124024,408,0.1572484637827399,0.75,0.9,,,
103,125788,412,0.09166893899616546,0.75,0.9166666666666666,0.2477795464775563,0.5,0.7692307692307693
104,126944,416,0.11635009231923606,1.0,1.0,,,
105,127940,420,0.14053633878186322,0.75,0.9166666666666666,,,
106,129032,424,0.12684945227734473,1.0,1.0,,,
107,130060,428,0.11894189964105238,0.5,0.7777777777777778,,,
108,131856,432,0.07845580017457061,1.0,1.0,,,
109,133268,436,0.07715368232166317,1.0,1.0,,,
110,134328,440,0.0968753086053291,0.75,0.9,,,
111,135804,444,0.1104886908808641,0.5,0.75,,,
112,137216,448,0.08120852606805483,0.5,0.8,,,
113,139012,452,0.08384506335685112,1.0,1.0,,,
114,139880,456,0.12097703434618004,0.75,0.9230769230769231,,,
115,141612,460,0.10152930991033558,0.5,0.8333333333333334,,,
116,142640,464,0.13098471415700316,1.0,1.0,0.21092593613205737,0.25,0.625
117,143796,468,0.07365909651739522,0.75,0.875,,,
118,144568,472,0.14784114051416566,0.5,0.8461538461538461,,,
119,145500,476,0.12368432495610908,0.75,0.9285714285714286,,,
120,146368,480,0.09025302585337285,1.0,1.0,,,
121,148164,484,0.09008396266153633,0.75,0.875,,,
122,149256,488,0.11805789402757831,1.0,1.0,,,
123,150764,492,0.096979052069639,0.75,0.9166666666666666,,,
124,152176,496,0.0723434323608682,1.0,1.0,,,
125,153204,500,0.13833399063743743,0.75,0.9565217391304348,,,
126,154296,504,0.1223472587708015,1.0,1.0,,,

